freq,currency,geo\TIME_PERIOD	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 	2025-S2 	2026-S1 
S,EUR,NO	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,PL	159 	160 	161 	167 	197 	226 	217 	187 	199 	179 	175 	182 	208 	210 	233 	222 	244 	248 	313 	336 	307 	287 	321 	318 	349 	347 	336 	353 	393 	369 	404 	404 	410 	418 	434 	417 	453 	473 	503 	480 	523 	529 	611 	583 	614 	619 	655 	642 	746 	811 	978 	998 	1091 	1100 	1139 
S,EUR,PT	357 	357 	371 	371 	390 	390 	406 	406 	416 	416 	426 	426 	437 	437 	450 	450 	470 	470 	497 	497 	525 	525 	554 	554 	566 	566 	566 	566 	566 	566 	566 	566 	589 	589 	618 	618 	650 	650 	677 	677 	700 	700 	741 	741 	776 	776 	823 	823 	887 	887 	957 	957 	1015 	1015 	1073 
S,EUR,RO	27 	27 	25 	34 	41 	57 	50 	52 	71 	66 	68 	69 	79 	86 	90 	92 	115 	124 	139 	137 	149 	143 	142 	137 	157 	158 	162 	157 	158 	179 	190 	205 	218 	235 	232 	276 	275 	319 	408 	407 	446 	439 	466 	461 	458 	467 	515 	516 	606 	604 	663 	743 	814 	797 	795 
S,EUR,RS	33 	33 	33 	40 	7 	49 	77 	93 	101 	105 	116 	124 	125 	127 	138 	146 	162 	189 	208 	233 	233 	220 	222 	203 	213 	235 	230 	235 	239 	236 	235 	233 	235 	236 	234 	230 	248 	253 	285 	283 	308 	308 	344 	344 	366 	366 	401 	402 	460 	461 	544 	544 	619 	618 	744 
S,EUR,SE	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,SI	361 	348 	373 	371 	395 	386 	433 	418 	450 	443 	471 	465 	490 	491 	512 	512 	522 	522 	539 	567 	589 	589 	597 	734 	748 	748 	763 	763 	784 	784 	789 	789 	791 	791 	791 	791 	805 	805 	843 	843 	887 	887 	941 	941 	1024 	1024 	1074 	1074 	1203 	1203 	1254 	1254 	1278 	1278 	1278 
S,EUR,SK	69 	79 	94 	94 	100 	104 	115 	112 	134 	134 	148 	152 	168 	169 	182 	180 	221 	226 	241 	268 	296 	296 	308 	308 	317 	317 	327 	327 	338 	338 	352 	352 	380 	380 	405 	405 	435 	435 	480 	480 	520 	520 	580 	580 	623 	623 	646 	646 	700 	700 	750 	750 	816 	816 	915 
S,EUR,TR	214 	215 	202 	201 	224 	157 	175 	159 	176 	189 	239 	246 	266 	302 	333 	265 	302 	330 	354 	331 	310 	321 	338 	392 	385 	356 	363 	412 	416 	405 	362 	391 	424 	425 	519 	514 	479 	443 	446 	380 	422 	390 	440 	383 	393 	347 	328 	374 	501 	474 	613 	568 	708 	558 	654 
S,EUR,UA	: 	18 	14 	23 	23 	25 	30 	32 	33 	30 	31 	32 	36 	51 	59 	59 	60 	65 	69 	69 	56 	59 	76 	92 	89 	83 	104 	111 	109 	110 	110 	76 	63 	52 	53 	53 	113 	107 	111 	122 	132 	140 	183 	158 	173 	186 	210 	211 	172 	168 	168 	185 	182 	164 	173 
